"브랜드","차종","가격","연식","배기량","주행거리","색상","변속기","연료","선루프","LED헤드램프","어댑티드헤드램프","가죽시트","열선시트.앞좌석.","통풍시트","후방센서","스마트키","네비게이션.순정.","네비게이션.비순정.","전손유무","소유자.이전.횟수","침수유무"
"기아","더 K9 3.3 터보 AWD  마스터즈Ⅲ",3590,"2018.08",3342,61150,3,1,1,1,1,1,1,1,1,1,1,1,0,0,"0",0
"르노코리아","뉴 SM3 1.6 RE",199,"2010.02",1598,144000,2,1,1,1,0,0,1,0,0,0,1,0,0,0,"0",0
"쉐보레","올란도 2.0 디젤 LS 고급형",319,"2013.09",1998,155000,2,1,2,0,0,0,0,0,0,0,0,0,1,0,"0",0
"쉐보레","말리부 2.0  LT 디럭스팩",349,"2012.04",1998,165111,3,1,1,1,0,0,1,0,0,1,1,0,0,0,"0",0
"쉐보레","말리부 2.0  LT 디럭스팩",420,"2012.06",1998,131105,2,1,1,1,0,0,1,0,0,1,1,0,0,0,"0",0
"기아","더 뉴 K7 2.4  프레스티지",700,"2013.08",2359,173832,2,1,1,1,0,0,1,0,0,1,1,1,0,0,"0",0
"기아","올 뉴 K7 2.2 디젤  프레스티지",990,"2016.02",2199,155763,3,1,2,0,0,0,1,1,1,1,1,1,0,0,"0",0
"기아","올 뉴 모닝 1.0  럭셔리",670,"2017.05",998,110302,3,1,1,0,0,0,1,1,0,1,1,0,0,0,"0",0
"기아","더 뉴 모닝 1.0  럭셔리",390,"2015.08",998,111155,2,1,1,0,0,0,1,0,0,0,1,1,0,0,"0",0
"KG모빌리티","코란도 스포츠 2.0 디젤 2WD  CX5 클럽",450,"2013.02",1998,165151,1,1,2,0,1,0,1,0,0,1,0,1,0,0,"0",0
"기아","더 뉴 레이 1.0  프레스티지",1600,"2023.04",998,19355,2,1,1,0,0,1,1,0,0,1,1,1,0,0,"0",0
"현대","뉴 투싼ix 2.0 디젤 4WD  프리미엄",690,"2013.08",1995,163639,2,1,2,0,1,0,1,1,1,1,1,1,0,0,"0",0
"쉐보레","말리부 2.0 디젤  LT 프리미엄팩",450,"2014.09",1956,181563,2,1,2,1,0,0,1,0,0,1,1,0,0,0,"0",0
"기아","올 뉴 모닝 1.0  럭셔리",740,"2018.04",998,98582,2,1,1,0,0,0,1,0,0,0,1,1,0,0,"0",0
"기아","K5 하이브리드 2.0 HEV 프레스티지",750,"2011.09",1999,780,3,1,4,0,1,1,1,1,1,1,1,0,1,0,"0",0
"기아","K5 하이브리드 2.0 HEV  프레스티지",629,"2012.02",1999,78850,2,1,4,0,1,1,1,1,1,1,1,1,0,0,"0",0
"기아","레이 1.0  디럭스",490,"2014.02",998,141187,5,1,1,0,0,0,1,0,0,1,0,0,1,0,"0",0
"현대","아반떼AD 1.6 LPi  스마트",640,"2016.05",1591,171409,2,1,3,1,0,0,1,1,0,1,1,1,0,0,"0",0
"현대","싼타페DM 2.0 디젤 4WD  프리미엄",999,"2013.11",1995,155363,3,1,2,1,0,0,1,0,0,1,1,0,0,0,"0",0
"현대","LF쏘나타 2.4  익스클루시브",799,"2014.11",2359,145831,1,1,1,1,0,1,1,0,1,1,1,1,0,0,"0",0
"KG모빌리티","뉴 코란도 C 2.0 디젤 4WD  CVT 고급형",490,"2013.1",1998,154884,3,1,2,1,0,0,1,0,0,1,1,0,1,0,"0",0
"르노코리아","QM3 1.5 디젤  RE",540,"2014.01",1461,156951,5,1,2,0,1,1,1,1,0,1,1,1,0,0,"0",0
"기아","K5 2세대 2.0 LPi  MX 럭셔리",899,"2015.11",1999,99434,2,1,3,0,0,0,1,1,0,0,0,1,0,0,"0",0
"기아","더 뉴 스포티지R 2.0 디젤 2WD 프레스티지",830,"2013.08",1995,107504,2,1,2,1,0,0,1,0,1,1,1,0,0,0,"0",0
"현대","그랜저IG 3.0  익스클루시브",1270,"2016.12",2999,178082,3,1,1,0,0,0,1,0,1,0,1,1,0,0,"0",0
"쉐보레","캡티바 2.2 디젤 4WD  LT",570,"2012.09",2231,116331,1,1,2,1,0,0,1,1,0,1,0,1,1,0,"0",0
"기아","K5 2.0 프레스티지",450,"2010.07",1998,167199,1,1,1,0,0,0,1,1,1,1,1,1,0,0,"0",0
"현대","그랜저HG 330 셀러브리티",670,"2012.09",3342,210988,3,1,1,0,1,0,1,1,1,1,1,1,0,0,"0",0
"르노코리아","SM5 노바 2.0 LPLi  고급형",650,"2016.07",1998,77265,1,1,3,0,0,0,1,1,0,1,1,1,0,0,"0",0
"현대","베라크루즈 3.0 디젤 2WD VX 럭셔리",550,"2007.08",2959,136470,1,1,2,1,0,0,1,1,0,1,0,0,0,0,"0",0
"기아","더 뉴 K3 1.6  프레스티지",380,"2016.02",1591,133996,2,1,1,1,0,0,1,0,0,1,1,0,0,0,"0",0
"기아","쏘렌토R 2.2 디젤 2WD TLX 최고급형",469,"2009.06",2199,159000,1,1,2,0,0,0,1,1,1,1,1,0,1,0,"0",0
"쉐보레","스파크 1.0  LS 스타",270,"2011.03",995,270,4,1,1,0,0,0,1,1,0,1,0,0,1,0,"0",0
"쉐보레","스파크 1.0 LPGi L",199,"2014.04",995,150000,2,2,3,0,0,0,0,0,0,0,0,0,0,0,"0",0
"현대","뉴 에쿠스 3.8  VS380 프라임",499,"2009.09",3778,177077,1,1,1,0,0,0,1,1,0,1,1,1,0,0,"0",0
"현대","그랜저HG 300 프라임",499,"2012.11",2999,163000,3,1,1,0,0,0,1,1,1,1,1,0,1,0,"0",0
"기아","더 K9 3.3 터보 AWD  마스터즈Ⅱ",3390,"2018.05",3342,67260,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"르노코리아","뉴 SM5  2.0 SE",199,"2010.02",1998,111000,3,1,1,0,0,0,1,1,0,1,1,0,1,0,"0",0
"현대","그랜드스타렉스 어린이보호차 디젤 12인승 2WD",529,"2012.06",2497,147000,5,1,2,0,0,0,1,1,0,1,0,0,0,0,"0",0
"제네시스","GV80 2.5 터보 AWD  5인승",7390,"2023.06",2497,9963,2,1,1,0,0,0,0,0,0,0,0,0,0,0," 1회",0
"KG모빌리티","코란도 투리스모 2.2 디젤 4WD  TX 9인승",1330,"2017.08",2157,55000,2,1,2,0,0,0,1,1,1,1,0,0,0,0," 0회",0
"르노코리아","올 뉴 SM7 2.5 RE",329,"2011.1",2495,140000,1,1,1,0,0,0,1,1,0,1,1,0,1,0,"0",0
"기아","EV6 롱 레인지 2WD  에어",3050,"2022.11",111,84119,3,1,5,0,0,0,0,0,0,0,0,0,0,0,"0",0
"기아","카니발 4세대  3.5 가솔린 하이리무진  -",5990,"2022.11",3470,22600,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"현대","아반떼MD 1.6 M16 럭셔리",349,"2011.04",1591,179000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0",0
"현대","더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스",2289,"2020.12",2359,114953,3,1,4,0,0,0,0,0,0,0,0,0,0,0,"0",0
